Location,Count,Max,Timestamp
Orbit,14,46,2/5/2024 15:59
Willow Room,3,27,2/5/2024 15:59
Cove Pool,4,116,2/5/2024 15:59
Mount Mendota,9,39,2/5/2024 15:59
Skybox Suites,2,18,2/5/2024 15:59
SubZero Ice Center,,,2/5/2024 15:59
Nick Level 1 Fitness,43,150,2/5/2024 16:19
Nick Level 2 Fitness,44,100,2/5/2024 16:19
Nick Level 3 Fitness,113,200,2/5/2024 16:19
Nick Power House,67,140,2/5/2024 16:19
Nick Track,21,100,2/5/2024 16:19
Soderholm Family Aquatic Center,,,2/5/2024 16:19
Nick Courts 1 & 2,10,250,2/5/2024 16:19
Nick Courts 3-6,15,500,2/5/2024 16:19
Nick Courts 7 & 8,14,250,2/5/2024 16:19
Level 1 Fitness,44,130,2/5/2024 16:19
Level 2 Fitness,14,65,2/5/2024 16:19
Level 3 Fitness,71,246,2/5/2024 16:19
Level 4 Fitness,17,75,2/5/2024 16:19
Bakke Track,3,100,2/5/2024 16:19
Courts 1&2,8,250,2/5/2024 16:19
Courts 3&4,0,250,2/5/2024 16:19
Courts 5-8,2,500,2/5/2024 16:19
Orbit,14,46,2/5/2024 16:19
Willow Room,3,27,2/5/2024 16:19
Cove Pool,4,116,2/5/2024 16:19
Mount Mendota,9,39,2/5/2024 16:19
Skybox Suites,2,18,2/5/2024 16:19
SubZero Ice Center,,,2/5/2024 16:19
Nick Level 1 Fitness,43,150,2/5/2024 16:40
Nick Level 2 Fitness,44,100,2/5/2024 16:40
Nick Level 3 Fitness,113,200,2/5/2024 16:40
Nick Power House,67,140,2/5/2024 16:40
Nick Track,21,100,2/5/2024 16:40
Soderholm Family Aquatic Center,,,2/5/2024 16:40
Nick Courts 1 & 2,10,250,2/5/2024 16:40
Nick Courts 3-6,15,500,2/5/2024 16:40
Nick Courts 7 & 8,14,250,2/5/2024 16:40
Level 1 Fitness,59,130,2/5/2024 16:40
Level 2 Fitness,26,65,2/5/2024 16:40
Level 3 Fitness,66,246,2/5/2024 16:40
Level 4 Fitness,19,75,2/5/2024 16:40
Bakke Track,8,100,2/5/2024 16:40
Courts 1&2,2,250,2/5/2024 16:40
Courts 3&4,0,250,2/5/2024 16:40
Courts 5-8,6,500,2/5/2024 16:40
Orbit,26,46,2/5/2024 16:40
Willow Room,3,27,2/5/2024 16:40
Cove Pool,13,116,2/5/2024 16:40
Mount Mendota,9,39,2/5/2024 16:40
Skybox Suites,0,18,2/5/2024 16:40
SubZero Ice Center,,,2/5/2024 16:40
Nick Level 1 Fitness,43,150,2/5/2024 17:00
Nick Level 2 Fitness,44,100,2/5/2024 17:00
Nick Level 3 Fitness,113,200,2/5/2024 17:00
Nick Power House,67,140,2/5/2024 17:00
Nick Track,21,100,2/5/2024 17:00
Soderholm Family Aquatic Center,,,2/5/2024 17:00
Nick Courts 1 & 2,10,250,2/5/2024 17:00
Nick Courts 3-6,15,500,2/5/2024 17:00
Nick Courts 7 & 8,14,250,2/5/2024 17:00
Level 1 Fitness,59,130,2/5/2024 17:00
Level 2 Fitness,26,65,2/5/2024 17:00
Level 3 Fitness,66,246,2/5/2024 17:00
Level 4 Fitness,19,75,2/5/2024 17:00
Bakke Track,8,100,2/5/2024 17:00
Courts 1&2,2,250,2/5/2024 17:00
Courts 3&4,0,250,2/5/2024 17:00
Courts 5-8,6,500,2/5/2024 17:00
Orbit,26,46,2/5/2024 17:00
Willow Room,3,27,2/5/2024 17:00
Cove Pool,13,116,2/5/2024 17:00
Mount Mendota,9,39,2/5/2024 17:00
Skybox Suites,0,18,2/5/2024 17:00
SubZero Ice Center,,,2/5/2024 17:00
Nick Level 1 Fitness,44,150,2/5/2024 17:20
Nick Level 2 Fitness,45,100,2/5/2024 17:20
Nick Level 3 Fitness,123,200,2/5/2024 17:20
Nick Power House,67,140,2/5/2024 17:20
Nick Track,29,100,2/5/2024 17:20
Soderholm Family Aquatic Center,,,2/5/2024 17:20
Nick Courts 1 & 2,11,250,2/5/2024 17:20
Nick Courts 3-6,32,500,2/5/2024 17:20
Nick Courts 7 & 8,15,250,2/5/2024 17:20
Level 1 Fitness,59,130,2/5/2024 17:21
Level 2 Fitness,26,65,2/5/2024 17:21
Level 3 Fitness,66,246,2/5/2024 17:21
Level 4 Fitness,19,75,2/5/2024 17:21
Bakke Track,8,100,2/5/2024 17:21
Courts 1&2,2,250,2/5/2024 17:21
Courts 3&4,0,250,2/5/2024 17:21
Courts 5-8,6,500,2/5/2024 17:21
Orbit,26,46,2/5/2024 17:21
Willow Room,3,27,2/5/2024 17:21
